date,followers,following,media,avg_likes,avg_comments
2024-07-16,21233,78,85,0.0,0.0
2024-07-15,21233,78,85,0.0,0.0
2024-07-14,21229,78,85,0.0,0.0
2024-07-13,21229,78,85,0.0,0.0
2024-07-12,21230,78,85,0.0,0.0
2024-07-11,21233,78,85,0.0,0.0
2024-07-10,21231,78,85,0.0,0.0
2024-07-09,21233,78,85,0.0,0.0
2024-07-08,21233,78,85,0.0,0.0
2024-07-07,21236,78,85,0.0,0.0
2024-07-06,21233,78,85,0.0,0.0
2024-07-05,21231,78,85,0.0,0.0
2024-07-04,21231,78,85,0.0,0.0
2024-07-03,21234,78,85,0.0,0.0
2024-07-02,21235,78,85,0.0,0.0
2024-07-01,21238,78,85,0.0,0.0
2024-06-30,21238,78,85,0.0,0.0
2024-06-29,21240,78,85,0.0,0.0
2024-06-28,21237,78,85,0.0,0.0
2024-06-27,21240,78,85,0.0,0.0
2024-06-26,21242,78,85,0.0,0.0
2024-06-25,21246,78,85,0.0,0.0
2024-06-24,21250,78,85,0.0,0.0
2024-06-23,21251,78,85,0.0,0.0
2024-06-22,21253,78,85,0.0,0.0
2024-06-21,21261,78,85,0.0,0.0
2024-06-20,21258,78,85,0.0,0.0
2024-06-19,21261,78,85,0.0,0.0
2024-06-18,21254,78,85,0.0,0.0
2024-06-17,21257,78,85,0.0,0.0
2024-06-16,21252,78,85,0.0,0.0
2024-06-15,21254,78,85,0.0,0.0
2024-06-14,21252,78,85,0.0,0.0
2024-06-13,21255,78,85,0.0,0.0
2024-06-12,21252,78,85,0.0,0.0
2024-06-11,21254,78,85,0.0,0.0
2024-06-10,21253,78,85,0.0,0.0
2024-06-09,21246,78,85,0.0,0.0
2024-06-08,21246,78,85,0.0,0.0
2024-06-07,21243,78,85,0.0,0.0
2024-06-06,21241,78,85,0.0,0.0
2024-06-05,21226,78,85,0.0,0.0
2024-06-04,21221,78,85,0.0,0.0
2024-06-03,21221,78,85,0.0,0.0
2024-06-02,21220,78,85,0.0,0.0
2024-06-01,21225,78,85,0.0,0.0
2024-05-31,21229,78,85,0.0,0.0
2024-05-30,21231,78,85,0.0,0.0
2024-05-29,21220,78,85,0.0,0.0
2024-05-28,21220,78,85,0.0,0.0
2024-05-27,21229,78,85,0.0,0.0
2024-05-26,21229,78,85,0.0,0.0
2024-05-25,21232,78,85,0.0,0.0
2024-05-24,21233,78,85,0.0,0.0
2024-05-23,21235,78,85,0.0,0.0
2024-05-22,21234,78,85,0.0,0.0
2024-05-21,21232,78,85,0.0,0.0
2024-05-20,21230,78,85,0.0,0.0
2024-05-19,21228,78,85,0.0,0.0
2024-05-18,21228,78,85,0.0,0.0
2024-05-17,21229,78,85,0.0,0.0
2024-05-16,21231,78,85,0.0,0.0
2024-05-15,21227,78,85,0.0,0.0
2024-05-14,21222,78,85,0.0,0.0
2024-05-13,21221,78,85,0.0,0.0
2024-05-12,21220,78,85,0.0,0.0
2024-05-11,21225,78,85,0.0,0.0
2024-05-10,21218,78,85,0.0,0.0
2024-05-09,21218,78,85,0.0,0.0
2024-05-08,21218,78,85,0.0,0.0
2024-05-07,21220,78,85,0.0,0.0
2024-05-06,21224,78,85,0.0,0.0
2024-05-05,21223,78,85,0.0,0.0
2024-05-04,21218,78,85,0.0,0.0
2024-05-03,21225,78,85,0.0,0.0
2024-05-02,21227,78,85,0.0,0.0
2024-05-01,21229,78,85,0.0,0.0
2024-04-30,21172,78,85,0.0,0.0
2024-04-29,21066,78,85,0.0,0.0
2024-04-28,21069,78,85,0.0,0.0
2024-04-27,21072,78,85,0.0,0.0
2024-04-26,21071,78,85,0.0,0.0
2024-04-25,21072,78,85,0.0,0.0
2024-04-24,21072,78,85,0.0,0.0
2024-04-23,21077,78,85,0.0,0.0
2024-04-22,21075,78,85,0.0,0.0
2024-04-21,21084,78,85,0.0,0.0
2024-04-20,21089,78,85,0.0,0.0
2024-04-19,21088,78,85,0.0,0.0
2024-04-18,21084,78,85,0.0,0.0
2024-04-17,21082,78,85,0.0,0.0
2024-04-16,21078,78,85,0.0,0.0
2024-04-15,21078,78,85,0.0,0.0
2024-04-14,21073,78,85,0.0,0.0
2024-04-13,21075,78,85,0.0,0.0
2024-04-12,21073,78,85,0.0,0.0
2024-04-11,21076,78,85,0.0,0.0
2024-04-10,21070,78,85,0.0,0.0
2024-04-09,21064,78,85,0.0,0.0
2024-04-08,21065,78,85,0.0,0.0
2024-04-07,21072,78,85,0.0,0.0
2024-04-06,21066,78,85,0.0,0.0
2024-04-05,21065,78,85,0.0,0.0
2024-04-04,21069,78,85,0.0,0.0
2024-04-03,21070,78,85,0.0,0.0
2024-04-02,21067,78,85,0.0,0.0
2024-04-01,21069,78,85,0.0,0.0
2024-03-31,21068,78,85,0.0,0.0
2024-03-30,21072,78,85,0.0,0.0
2024-03-29,21071,78,85,0.0,0.0
2024-03-28,21074,78,85,0.0,0.0
2024-03-27,21075,78,85,0.0,0.0
2024-03-26,21078,78,85,0.0,0.0
2024-03-25,21081,78,85,0.0,0.0
2024-03-24,21075,78,85,0.0,0.0
2024-03-23,21072,78,85,0.0,0.0
2024-03-22,21070,78,85,0.0,0.0
2024-03-21,21069,78,85,0.0,0.0
2024-03-20,21069,78,85,0.0,0.0
2024-03-19,21070,78,85,0.0,0.0
2024-03-18,21074,78,85,0.0,0.0
2024-03-17,21071,78,85,0.0,0.0
2024-03-16,21073,78,85,0.0,0.0
2024-03-15,21076,78,85,0.0,0.0
2024-03-14,21067,78,85,0.0,0.0
2024-03-13,21070,78,85,0.0,0.0
2024-03-12,21068,78,85,0.0,0.0
2024-03-11,21067,78,85,0.0,0.0
2024-03-10,21069,78,85,0.0,0.0
2024-03-09,21068,78,85,0.0,0.0
2024-03-08,21070,78,85,0.0,0.0
2024-03-07,21064,78,85,0.0,0.0
2024-03-06,21066,78,85,0.0,0.0
2024-03-05,21075,78,85,0.0,0.0
2024-03-04,21077,78,85,0.0,0.0
2024-03-03,21081,78,85,0.0,0.0
2024-03-02,21086,78,85,0.0,0.0
2024-03-01,21082,78,85,0.0,0.0
2024-02-29,21085,78,85,0.0,0.0
2024-02-28,21088,78,85,0.0,0.0
2024-02-27,21090,78,85,0.0,0.0
2024-02-26,21092,78,85,0.0,0.0
2024-02-25,21093,78,85,0.0,0.0
2024-02-24,21090,78,85,0.0,0.0
2024-02-23,21089,78,85,0.0,0.0
2024-02-22,21097,78,85,0.0,0.0
2024-02-21,21102,78,85,0.0,0.0
2024-02-20,21100,78,85,0.0,0.0
2024-02-19,21092,78,85,0.0,0.0
2024-02-18,21097,78,85,0.0,0.0
2024-02-17,21105,78,85,0.0,0.0
2024-02-16,21101,78,85,0.0,0.0
2024-02-15,21096,78,85,0.0,0.0
2024-02-14,21098,78,85,0.0,0.0
2024-02-13,21104,78,85,0.0,0.0
2024-02-12,21106,78,85,0.0,0.0
2024-02-11,21107,78,85,0.0,0.0
2024-02-10,21107,78,85,0.0,0.0
2024-02-09,21102,78,85,0.0,0.0
2024-02-08,21102,78,85,0.0,0.0
2024-02-07,21102,78,85,0.0,0.0
2024-02-06,21106,78,85,0.0,0.0
2024-02-05,21099,78,85,0.0,0.0
2024-02-04,21101,78,85,0.0,0.0
2024-02-03,21094,78,85,0.0,0.0
2024-02-02,21086,78,85,0.0,0.0
2024-02-01,21087,78,85,0.0,0.0
2024-01-31,21087,78,85,0.0,0.0
2024-01-30,21092,78,85,0.0,0.0
2024-01-29,21095,78,85,0.0,0.0
2024-01-28,21108,78,85,0.0,0.0
2024-01-27,21109,78,85,0.0,0.0
2024-01-26,21109,78,85,0.0,0.0
2024-01-25,21109,78,85,0.0,0.0
2024-01-24,21105,78,85,0.0,0.0
2024-01-23,21110,78,85,0.0,0.0
2024-01-22,21111,78,85,0.0,0.0
2024-01-21,21111,78,85,0.0,0.0
2024-01-20,21112,78,85,0.0,0.0
2024-01-19,21113,78,85,0.0,0.0
2024-01-18,21111,78,85,0.0,0.0
2024-01-17,21113,78,85,0.0,0.0
2024-01-16,21113,78,85,0.0,0.0
2024-01-15,21116,78,85,0.0,0.0
2024-01-14,21107,78,85,0.0,0.0
2024-01-13,21095,78,85,0.0,0.0
2024-01-12,21105,78,85,0.0,0.0
2024-01-11,21108,78,85,0.0,0.0
2024-01-10,21112,78,85,0.0,0.0
2024-01-09,21110,78,85,0.0,0.0
2024-01-08,21110,78,85,0.0,0.0
2024-01-07,21116,78,85,0.0,0.0
2024-01-06,21117,78,85,0.0,0.0
2024-01-05,21123,78,85,0.0,0.0
2024-01-04,21124,78,85,0.0,0.0
2024-01-03,21123,78,85,0.0,0.0
2024-01-02,21123,78,85,0.0,0.0
2024-01-01,21125,78,85,0.0,0.0
2023-12-31,21122,78,85,0.0,0.0
2023-12-30,21124,78,85,0.0,0.0
2023-12-29,21122,78,85,0.0,0.0
2023-12-28,21117,78,85,0.0,0.0
2023-12-27,21118,78,85,0.0,0.0
2023-12-26,21123,78,85,0.0,0.0
2023-12-25,21119,78,85,0.0,0.0
2023-12-24,21121,78,85,0.0,0.0
2023-12-23,21095,78,85,0.0,0.0
2023-12-22,21123,78,85,0.0,0.0
2023-12-21,21132,78,85,0.0,0.0
2023-12-20,21132,78,85,0.0,0.0
2023-12-19,21139,78,85,0.0,0.0
2023-12-18,21147,78,85,0.0,0.0
2023-12-17,21147,78,85,0.0,0.0
2023-12-16,21151,78,85,0.0,0.0
2023-12-15,21145,78,85,0.0,0.0
2023-12-14,21141,78,85,0.0,0.0
2023-12-13,21139,78,85,0.0,0.0
2023-12-12,21135,78,85,0.0,0.0
2023-12-11,21135,78,85,0.0,0.0
2023-12-10,21129,78,85,0.0,0.0
