,main_artist,main_artist_ig,main_artist_tt,main_artist_yt
272,Fifty Fifty,we_fiftyfifty,we_fiftyfifty,@WE_FIFTYFIFTY
273,Lola Brooke,lola.brooke,lolabrooke5,@LolaBrooke718
274,"Tyler, The Creator",feliciathegoat,,@TylerTheCreator
275,Old Dominion,olddominionmusic,olddominionband,@OldDominionMusic
276,Kanii,kanii_o,kanii_o,@Kaniio
277,Jack Black,jackblack,jackblack,
278,David Kushner,david.kushner,davidkushner,@david.kushner
279,Grupo Marca Registrada,grupomarcaregistrada,grupomarcaregistrada,@GrupoMarcaRegistrada
280,Kim Petras,kimpetras,kimpetras,@kimpetras
281,Agust D,agustd,,
282,Jonas Brothers,jonasbrothers,jonasbrothers,@JonasBrothers
283,Libianca,iamlibianca,iamlibianca,@IAMLIBIANCA
284,Kali,kaliii,kaliyaashley,@kaliii
285,Anuel AA,anuel,anuel,@AnuelAA
286,Lil Mabu,lilmabu,lilmabu,@LilMabu
287,Doechii,doechii,iamdoechii_,@IamdoechiiTV
288,Hailey Whitters,haileywhitters,haileywhitters,@HaileyWhittersMusic
289,Lana Del Rey,honeymoon,lanadelrey,@LanaDelRey
290,Summer Walker,summerwalker,summerwalker,@summerwalker
291,Dan + Shay,danandshay,danandshay,@DanAndShay
292,Dua Lipa,dualipa,dualipaofficial,@dualipa
293,Sexyy Red,sexyyred,sexyyred314,@SexyyRed
294,Young Nudy,youngnudy,pde_youngnudy,@YoungNudy
295,Noah Kahan,noahkahanmusic,noahkahanmusic,@NoahKahan
296,El Alfa,elalfaeljefe,elalfaeljeferd,@ElAlfaElJefeTV
297,Baby Keem,keem,,@babykeem
298,Feid,feid,ferxxo444,@Feid
299,Young Thug,thuggerthugger1,thuggerthugger1,@youngthug
300,Olivia Rodrigo,oliviarodrigo,livbedumb,@OliviaRodrigo
301,Tainy,tainy,tainy,@Tainy
302,Fall Out Boy,falloutboy,falloutboy,@FallOutBoy
303,FendiDa Rappa,fendidarappa_,fendidarappa,@FendiDaRappa
304,Myke Towers,myketowers,myketowers,@MykeTowers
305,Troye Sivan,troyesivan,troyesivan,@TroyeSivan
306,Ryan Castro,ryancastror,ryancastror,@RyanCastro
307,Rylo Rodriguez,rylorodriguez,rylorodriguez,@RyloRodriguez
308,That Mexican OT,thatmexicanot,thatmexicanot,@ThatMexicanOT
309,Travis Scott,travisscott,travisscott,@TravisScottXX
310,Chris Stapleton,chrisstapleton,chrisstapleton,@ChrisStapleton
311,Diplo,diplo,diplo,@Diplo
312,Charli xcx,charli_xcx,charli_xcx,@CharliXCX
313,Ryan Gosling,,,
314,Tyler Childers,timmytychilders,timmytychilders,@TylerChilders
315,Ivan Cornejo,ivancornejoo,ivancornejomusic,@IvanCornejo
316,Usher,usher,usher,@Usher
317,Oliver Anthony Music,oliver_anthony_music,oliveranthonymusic,@OliverAnthonyMusic
318,Warren Zeiders,warrenzeiders,warrenzeiders,@WarrenZeiders
319,Dominic Fike,dominicfike,dominicfike,@DominicFike
320,Teddy Swims,teddyswims,teddyswims,@TeddySwims
321,Victoria Monet,victoriamonet,victoriamonet,@VictoriaMonet
322,Calle 24,calle24oficial,calle24oficial,@Calle24
323,Timbaland,timbaland,timbaland,@Timbaland
324,Kenya Grace,kenyagrace,kenyagrace,@KenyaGrace
325,Paul Russell,paulrussellmusic,paulrussellmusic,@PaulRussell
326,Lil Tecca,liltecca,liltecca,@LilTecca
327,Mitski,mitskileaks,mitskileaks,@Mitski
328,Maluma,maluma,maluma,@Maluma
329,*NSYNC,nsync,nsync,@NSYNC
330,Tyla,tyla,tyla,@Tyla
331,Rick Ross,richforever,richforever,@RickRoss
