,title,song_id,main_artist
317,Glimpse Of Us,Glimpse Of Us — Joji,Joji
318,Yet To Come,Yet To Come — BTS,BTS
319,Rock And A Hard Place,Rock And A Hard Place — Bailey Zimmerman,Bailey Zimmerman
320,Cash In Cash Out,"Cash In Cash Out — Pharrell Williams Featuring 21 Savage & Tyler, The Creator",Pharrell Williams
321,So Good,So Good — Halsey,Halsey
322,Run BTS,Run BTS — BTS,BTS
323,I Ain't Worried,I Ain't Worried — OneRepublic,OneRepublic
324,5 Foot 9,5 Foot 9 — Tyler Hubbard,Tyler Hubbard
325,New Truck,New Truck — Dylan Scott,Dylan Scott
326,Jimmy Cooks,Jimmy Cooks — Drake Featuring 21 Savage,Drake
327,Sticky,Sticky — Drake,Drake
328,Falling Back,Falling Back — Drake,Drake
329,Texts Go Green,Texts Go Green — Drake,Drake
330,Massive,Massive — Drake,Drake
331,Break My Soul,Break My Soul — Beyonce,Beyonce
332,The Kind Of Love We Make,The Kind Of Love We Make — Luke Combs,Luke Combs
333,Calling My Name,Calling My Name — Drake,Drake
334,A Keeper,A Keeper — Drake,Drake
335,Currents,Currents — Drake,Drake
336,Flight's Booked,Flight's Booked — Drake,Drake
337,Overdrive,Overdrive — Drake,Drake
338,Liability,Liability — Drake,Drake
339,U-Digg,"U-Digg — Lil Baby, 42 Dugg & Veeze",Lil Baby
340,Down Hill,Down Hill — Drake,Drake
341,Tie That Binds,Tie That Binds — Drake,Drake
342,Wild As Her,Wild As Her — Corey Kent,Corey Kent
343,Left And Right,Left And Right — Charlie Puth Featuring Jung Kook,Charlie Puth
344,Carolina,Carolina — Taylor Swift,Taylor Swift
345,Late To Da Party (F*CK BET),Late To Da Party (F*CK BET) — Lil Nas X & Youngboy Never Broke Again,Lil Nas X
346,From The D 2 The LBC,From The D 2 The LBC — Eminem & Snoop Dogg,Eminem
347,Call Me Everyday,Call Me Everyday — Chris Brown Featuring WizKid,Chris Brown
348,Psychic,Psychic — Chris Brown Featuring Jack Harlow,Chris Brown
349,WE (Warm Embrace),WE (Warm Embrace) — Chris Brown,Chris Brown
350,Burglars & Murderers,Burglars & Murderers — Lil Durk Featuring EST Gee,Lil Durk
351,Addicted,Addicted — Chris Brown Featuring Lil Baby,Chris Brown
352,Did Shit To Me,Did Shit To Me — Lil Durk Featuring Doodie Lo,Lil Durk
353,Possessive,Possessive — Chris Brown Featuring Lil Wayne & BLEU,Chris Brown
