,chart_week,current_week,title,performers,last_week,peak_pos,wks_on_chart,song_id,main_artist
57,2024-06-15,58,Who's Afraid Of Little Old Me?,Taylor Swift,58,9,7,Who's Afraid Of Little Old Me? — Taylor Swift,Taylor Swift
58,2024-06-15,59,Illusion,Dua Lipa,75,43,8,Illusion — Dua Lipa,Dua Lipa
59,2024-06-15,60,Scared To Start,Michael Marcagi,70,54,16,Scared To Start — Michael Marcagi,Michael Marcagi
60,2024-06-15,61,We Ride,Bryan Martin,69,61,9,We Ride — Bryan Martin,Bryan Martin
61,2024-06-15,62,The Greatest,Billie Eilish,50,24,3,The Greatest — Billie Eilish,Billie Eilish
62,2024-06-15,63,Guilty As Sin?,Taylor Swift,64,10,7,Guilty As Sin? — Taylor Swift,Taylor Swift
63,2024-06-15,64,Enough (Miami),Cardi B,74,9,12,Enough (Miami) — Cardi B,Cardi B
64,2024-06-15,65,Texas Hold 'Em,Beyonce,48,1,17,Texas Hold 'Em — Beyonce,Beyonce
65,2024-06-15,66,But Daddy I Love Him,Taylor Swift,65,7,7,But Daddy I Love Him — Taylor Swift,Taylor Swift
66,2024-06-15,67,Obsessed,Olivia Rodrigo,66,14,11,Obsessed — Olivia Rodrigo,Olivia Rodrigo
67,2024-06-15,68,Skinny,Billie Eilish,53,18,3,Skinny — Billie Eilish,Billie Eilish
68,2024-06-15,69,Family Matters,Drake,59,7,5,Family Matters — Drake,Drake
69,2024-06-15,70,"So Long, London",Taylor Swift,68,5,7,"So Long, London — Taylor Swift",Taylor Swift
70,2024-06-15,71,My Boy Only Breaks His Favorite Toys,Taylor Swift,71,6,7,My Boy Only Breaks His Favorite Toys — Taylor Swift,Taylor Swift
72,2024-06-15,73,The Diner,Billie Eilish,62,31,3,The Diner — Billie Eilish,Billie Eilish
73,2024-06-15,74,Belong Together,Mark Ambor,82,74,6,Belong Together — Mark Ambor,Mark Ambor
74,2024-06-15,75,Red Wine Supernova,Chappell Roan,-,75,1,Red Wine Supernova — Chappell Roan,Chappell Roan
75,2024-06-15,76,Wondering Why,The Red Clay Strays,87,71,12,Wondering Why — The Red Clay Strays,The Red Clay Strays
76,2024-06-15,77,Hell N Back,Bakar Featuring Summer Walker,81,53,9,Hell N Back — Bakar Featuring Summer Walker,Bakar
77,2024-06-15,78,Take Her Home,Kenny Chesney,85,78,4,Take Her Home — Kenny Chesney,Kenny Chesney
78,2024-06-15,79,Wind Up Missin' You,Tucker Wetmore,78,75,10,Wind Up Missin' You — Tucker Wetmore,Tucker Wetmore
79,2024-06-15,80,Hot To Go!,Chappell Roan,-,80,1,Hot To Go! — Chappell Roan,Chappell Roan
81,2024-06-15,82,Si No Es Contigo,Cris Mj,72,72,2,Si No Es Contigo — Cris Mj,Cris Mj
82,2024-06-15,83,The Smallest Man Who Ever Lived,Taylor Swift,79,14,7,The Smallest Man Who Ever Lived — Taylor Swift,Taylor Swift
83,2024-06-15,84,Florida!!!,Taylor Swift Featuring Florence + The Machine,77,8,7,Florida!!! — Taylor Swift Featuring Florence + The Machine,Taylor Swift
84,2024-06-15,85,After Hours,Kehlani,84,84,2,After Hours — Kehlani,Kehlani
85,2024-06-15,86,The Tortured Poets Department,Taylor Swift,80,4,7,The Tortured Poets Department — Taylor Swift,Taylor Swift
86,2024-06-15,87,Your Place,Ashley Cooke,95,87,2,Your Place — Ashley Cooke,Ashley Cooke
87,2024-06-15,88,On One Tonight,Gunna,99,54,4,On One Tonight — Gunna,Gunna
88,2024-06-15,89,Bittersuite,Billie Eilish,73,36,3,Bittersuite — Billie Eilish,Billie Eilish
89,2024-06-15,90,Nasty,Tinashe,-,90,1,Nasty — Tinashe,Tinashe
90,2024-06-15,91,Tucson Too Late,Jordan Davis,88,71,14,Tucson Too Late — Jordan Davis,Jordan Davis
91,2024-06-15,92,Back Then Right Now,Tyler Hubbard,86,62,12,Back Then Right Now — Tyler Hubbard,Tyler Hubbard
92,2024-06-15,93,Outskirts,Sam Hunt,94,66,13,Outskirts — Sam Hunt,Sam Hunt
93,2024-06-15,94,The Door,Teddy Swims,-,94,1,The Door — Teddy Swims,Teddy Swims
94,2024-06-15,95,Spin You Around (1/24),Morgan Wallen,-,24,18,Spin You Around (1/24) — Morgan Wallen,Morgan Wallen
95,2024-06-15,96,Wine Into Whiskey,Tucker Wetmore,90,77,11,Wine Into Whiskey — Tucker Wetmore,Tucker Wetmore
96,2024-06-15,97,Heat Stick,Shoreline Mafia Presents OhGeesy & Fenix Flexin,97,97,3,Heat Stick — Shoreline Mafia Presents OhGeesy & Fenix Flexin,Shoreline Mafia
97,2024-06-15,98,Let Your Boys Be Country,Jason Aldean,-,98,1,Let Your Boys Be Country — Jason Aldean,Jason Aldean
98,2024-06-15,99,Tu Name,Fuerza Regida,100,66,14,Tu Name — Fuerza Regida,Fuerza Regida
99,2024-06-15,100,loml,Taylor Swift,92,12,7,loml — Taylor Swift,Taylor Swift
0,2024-06-22,1,I Had Some Help,Post Malone Featuring Morgan Wallen,1,1,5,I Had Some Help — Post Malone Featuring Morgan Wallen,Post Malone
1,2024-06-22,2,Please Please Please,Sabrina Carpenter,-,2,1,Please Please Please — Sabrina Carpenter,Sabrina Carpenter
2,2024-06-22,3,Espresso,Sabrina Carpenter,6,3,9,Espresso — Sabrina Carpenter,Sabrina Carpenter
3,2024-06-22,4,A Bar Song (Tipsy),Shaboozey,4,3,9,A Bar Song (Tipsy) — Shaboozey,Shaboozey
4,2024-06-22,5,Million Dollar Baby,Tommy Richman,3,2,7,Million Dollar Baby — Tommy Richman,Tommy Richman
5,2024-06-22,6,Not Like Us,Kendrick Lamar,5,1,6,Not Like Us — Kendrick Lamar,Kendrick Lamar
6,2024-06-22,7,Too Sweet,Hozier,7,1,12,Too Sweet — Hozier,Hozier
7,2024-06-22,8,Houdini,Eminem,2,2,2,Houdini — Eminem,Eminem
8,2024-06-22,9,Birds Of A Feather,Billie Eilish,11,9,4,Birds Of A Feather — Billie Eilish,Billie Eilish
9,2024-06-22,10,Lose Control,Teddy Swims,8,1,44,Lose Control — Teddy Swims,Teddy Swims
10,2024-06-22,11,Beautiful Things,Benson Boone,9,2,21,Beautiful Things — Benson Boone,Benson Boone
11,2024-06-22,12,Pink Skies,Zach Bryan,10,6,3,Pink Skies — Zach Bryan,Zach Bryan
12,2024-06-22,13,Fortnight,Taylor Swift Featuring Post Malone,12,1,8,Fortnight — Taylor Swift Featuring Post Malone,Taylor Swift
13,2024-06-22,14,Lunch,Billie Eilish,13,5,4,Lunch — Billie Eilish,Billie Eilish
14,2024-06-22,15,Like That,"Future, Metro Boomin & Kendrick Lamar",14,1,12,"Like That — Future, Metro Boomin & Kendrick Lamar",Future
15,2024-06-22,16,Saturn,SZA,16,6,16,Saturn — SZA,SZA
16,2024-06-22,17,Cowgirls,Morgan Wallen Featuring ERNEST,19,17,26,Cowgirls — Morgan Wallen Featuring ERNEST,Morgan Wallen
17,2024-06-22,18,We Can't Be Friends (Wait For Your Love),Ariana Grande,17,1,14,We Can't Be Friends (Wait For Your Love) — Ariana Grande,Ariana Grande
18,2024-06-22,19,Austin,Dasha,20,19,14,Austin — Dasha,Dasha
19,2024-06-22,20,Wanna Be,GloRilla & Megan Thee Stallion,15,11,10,Wanna Be — GloRilla & Megan Thee Stallion,GloRilla
20,2024-06-22,21,"Good Luck, Babe!",Chappell Roan,26,21,10,"Good Luck, Babe! — Chappell Roan",Chappell Roan
21,2024-06-22,22,Feather,Sabrina Carpenter,27,21,28,Feather — Sabrina Carpenter,Sabrina Carpenter
22,2024-06-22,23,BAND4BAND,Central Cee & Lil Baby,18,18,3,BAND4BAND — Central Cee & Lil Baby,Central Cee
23,2024-06-22,24,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,23,1,42,I Remember Everything — Zach Bryan Featuring Kacey Musgraves,Zach Bryan
24,2024-06-22,25,Chihiro,Billie Eilish,21,12,4,Chihiro — Billie Eilish,Billie Eilish
25,2024-06-22,26,Lovin On Me,Jack Harlow,22,1,31,Lovin On Me — Jack Harlow,Jack Harlow
26,2024-06-22,27,Stick Season,Noah Kahan,25,9,37,Stick Season — Noah Kahan,Noah Kahan
27,2024-06-22,28,Miles On It,Marshmello & Kane Brown,24,21,6,Miles On It — Marshmello & Kane Brown,Marshmello
28,2024-06-22,29,High Road,Koe Wetzel & Jessie Murph,-,29,1,High Road — Koe Wetzel & Jessie Murph,Koe Wetzel
