,chart_week,current_week,title,performer,last_week,peak_pos,wks_on_chart
94,2022-01-29,95,IDK That Bitch,Gunna Featuring G Herbo,59,59,2
95,2022-01-29,96,Same Boat,Zac Brown Band,-,48,17
96,2022-01-29,97,No Love,Summer Walker & SZA,-,13,10
97,2022-01-29,98,AA,Walker Hayes,-,87,2
98,2022-01-29,99,Livin Wild,Gunna,61,61,2
99,2022-01-29,100,Baddest,"Yung Bleu, Chris Brown & 2 Chainz",-,56,19
0,2022-02-05,1,We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",2,1,5
1,2022-02-05,2,Easy On Me,Adele,1,1,16
2,2022-02-05,3,Heat Waves,Glass Animals,3,3,54
3,2022-02-05,4,Stay,The Kid LAROI & Justin Bieber,4,1,29
4,2022-02-05,5,Super Gremlin,Kodak Black,5,5,12
5,2022-02-05,6,Shivers,Ed Sheeran,6,4,20
6,2022-02-05,7,Pushin P,Gunna & Future Featuring Young Thug,7,7,3
7,2022-02-05,8,abcdefu,GAYLE,8,8,10
8,2022-02-05,9,Surface Pressure,Jessica Darrow,10,9,5
9,2022-02-05,10,Cold Heart (PNAU Remix),Elton John & Dua Lipa,9,7,21
10,2022-02-05,11,Need To Know,Doja Cat,11,8,33
11,2022-02-05,12,Bad Habits,Ed Sheeran,12,2,31
12,2022-02-05,13,Ghost,Justin Bieber,14,13,18
13,2022-02-05,14,Industry Baby,Lil Nas X & Jack Harlow,13,1,27
14,2022-02-05,15,Smokin Out The Window,Silk Sonic (Bruno Mars & Anderson .Paak),15,5,12
15,2022-02-05,16,Hrs And Hrs,Muni Long,17,16,5
16,2022-02-05,17,Levitating,Dua Lipa,16,2,64
17,2022-02-05,18,Thats What I Want,Lil Nas X,19,10,19
18,2022-02-05,19,Save Your Tears,The Weeknd & Ariana Grande,20,1,56
19,2022-02-05,20,The Family Madrigal,"Stephanie Beatriz, Olga Merediz & Encanto Cast",43,20,4
20,2022-02-05,21,Oh My God,Adele,18,5,10
21,2022-02-05,22,Buy Dirt,Jordan Davis Featuring Luke Bryan,25,22,25
22,2022-02-05,23,One Right Now,Post Malone & The Weeknd,22,6,12
23,2022-02-05,24,Better Days,NEIKED X Mae Muller X Polo G,26,23,15
24,2022-02-05,25,Good 4 U,Olivia Rodrigo,21,1,37
25,2022-02-05,26,Love Nwantiti (Ah Ah Ah),CKay,27,26,19
26,2022-02-05,27,What Else Can I Do?,Diane Guerrero & Stephanie Beatriz,31,27,4
27,2022-02-05,28,You Should Probably Leave,Chris Stapleton,33,28,30
28,2022-02-05,29,Fancy Like,Walker Hayes,32,3,32
29,2022-02-05,30,Fingers Crossed,Lauren Spencer-Smith,30,19,4
30,2022-02-05,31,I Hate U,SZA,28,7,8
31,2022-02-05,32,Knife Talk,Drake Featuring 21 Savage & Project Pat,36,4,21
32,2022-02-05,33,You Right,Doja Cat & The Weeknd,35,11,30
33,2022-02-05,34,Essence,Wizkid Featuring Justin Bieber & Tems,34,9,29
34,2022-02-05,35,Kiss Me More,Doja Cat Featuring SZA,29,3,41
35,2022-02-05,36,Dos Oruguitas,Sebastian Yatra,44,36,4
36,2022-02-05,37,Sacrifice,The Weeknd,23,11,3
37,2022-02-05,38,Cold December,Rod Wave,58,38,2
38,2022-02-05,39,Big Energy,Latto,38,38,14
39,2022-02-05,40,Meet Me At Our Spot,THE ANXIETY: WILLOW & Tyler Cole,39,21,20
40,2022-02-05,41,If I Didn't Love You,Jason Aldean & Carrie Underwood,41,15,24
41,2022-02-05,42,Light Switch,Charlie Puth,-,42,1
42,2022-02-05,43,Sand In My Boots,Morgan Wallen,42,32,28
43,2022-02-05,44,Thinking 'Bout You,Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter,46,30,24
44,2022-02-05,45,Enemy,Imagine Dragons X JID,48,45,10
45,2022-02-05,46,Woman,Doja Cat,52,46,26
46,2022-02-05,47,Happier Than Ever,Billie Eilish,37,11,26
47,2022-02-05,48,Waiting On A Miracle,Stephanie Beatriz,65,48,4
48,2022-02-05,49,One Mississippi,Kane Brown,40,40,18
49,2022-02-05,50,'Til You Can't,Cody Johnson,55,50,16
50,2022-02-05,51,To Be Loved By You,Parker McCollum,53,51,9
51,2022-02-05,52,P Power,Gunna Featuring Drake,24,24,2
52,2022-02-05,53,Freedom Was A Highway,Jimmie Allen & Brad Paisley,54,45,16
53,2022-02-05,54,Broadway Girls,Lil Durk Featuring Morgan Wallen,47,14,6
54,2022-02-05,55,AA,Walker Hayes,98,55,3
55,2022-02-05,56,Half Of My Hometown,Kelsea Ballerini Featuring Kenny Chesney,56,53,11
56,2022-02-05,57,Message In A Bottle (Taylor's Version) (From The Vault),Taylor Swift,73,45,11
57,2022-02-05,58,No Switch,YoungBoy Never Broke Again,-,58,1
58,2022-02-05,59,Who Want Smoke??,"Nardo Wick Featuring G Herbo, Lil Durk & 21 Savage",59,17,16
59,2022-02-05,60,Bring It On,YoungBoy Never Broke Again,-,60,1
60,2022-02-05,61,Chosen,Blxst & Tyga Featuring Ty Dolla $ign,60,51,18
61,2022-02-05,62,Whiskey And Rain,Michael Ray,51,37,17
62,2022-02-05,63,Heart On Fire,Eric Church,64,59,10
63,2022-02-05,64,Bring The Hook,YoungBoy Never Broke Again,61,61,2
64,2022-02-05,65,Too Easy,Gunna & Future,45,16,13
65,2022-02-05,66,For Tonight,Giveon,69,61,17
66,2022-02-05,67,Beers On Me,"Dierks Bentley, Breland & HARDY",68,67,5
67,2022-02-05,68,Fish Scale,YoungBoy Never Broke Again,82,68,2
68,2022-02-05,69,By Your Side,Rod Wave,63,58,9
69,2022-02-05,70,Eazy,The Game & Kanye West,49,49,2
70,2022-02-05,71,Scorpio,Moneybagg Yo,70,66,10
71,2022-02-05,72,Flossin',Internet Money Featuring YoungBoy Never Broke Again,-,72,1
72,2022-02-05,73,Proud,Key Glock,-,73,1
73,2022-02-05,74,Know Like I Know,YoungBoy Never Broke Again,-,74,1
74,2022-02-05,75,Do It To It,Acraze Featuring Cherish,76,65,6
75,2022-02-05,76,Doin' This,Luke Combs,83,53,7
76,2022-02-05,77,All Too Well (Taylor's Version),Taylor Swift,74,1,11
77,2022-02-05,78,Pressure,Ari Lennox,84,78,5
78,2022-02-05,79,23,Sam Hunt,85,75,5
79,2022-02-05,80,Never Say Never,Cole Swindell / Lainey Wilson,79,79,2
80,2022-02-05,81,I Love You So,The Walters,-,81,2
81,2022-02-05,82,All Of You,"Stephanie Beatriz, Olga Merediz, John Leguizamo, Adassa, Maluma & Encanto Cast",94,82,2
82,2022-02-05,83,Have Mercy,Chloe,77,28,20
83,2022-02-05,84,Circles Around This Town,Maren Morris,81,63,3
84,2022-02-05,85,Take My Breath,The Weeknd,66,6,19
85,2022-02-05,86,2Hoo,YoungBoy Never Broke Again,-,86,1
86,2022-02-05,87,Long Live,YoungBoy Never Broke Again,-,87,1
87,2022-02-05,88,Thought I Was Playing,Gunna & 21 Savage,62,23,3
88,2022-02-05,89,Dis & That,YoungBoy Never Broke Again,-,89,1
89,2022-02-05,90,Me Or Sum,"Nardo Wick, Lil Baby & Future",-,86,3
90,2022-02-05,91,Beautiful Lies,Yung Bleu & Kehlani,-,91,1
91,2022-02-05,92,25k Jacket,Gunna Featuring Lil Baby,67,28,3
92,2022-02-05,93,Baddest,"Yung Bleu, Chris Brown & 2 Chainz",100,56,20
93,2022-02-05,94,Home Sweet,Russell Dickerson,-,90,2
94,2022-02-05,95,No Love,Summer Walker & SZA,97,13,11
95,2022-02-05,96,Come Back As A Country Boy,Blake Shelton,-,91,2
96,2022-02-05,97,Smoke One,YoungBoy Never Broke Again,-,97,1
97,2022-02-05,98,Never Wanted To Be That Girl,Carly Pearce & Ashley McBryde,93,93,3
98,2022-02-05,99,I Am Woman,Emmy Meli,-,74,4
99,2022-02-05,100,Iffy,Chris Brown,71,71,2
0,2022-02-12,1,We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",1,1,6
1,2022-02-12,2,Easy On Me,Adele,2,1,17
2,2022-02-12,3,Heat Waves,Glass Animals,3,3,55
3,2022-02-12,4,Stay,The Kid LAROI & Justin Bieber,4,1,30
4,2022-02-12,5,Super Gremlin,Kodak Black,5,5,13
5,2022-02-12,6,abcdefu,GAYLE,8,6,11
6,2022-02-12,7,Shivers,Ed Sheeran,6,4,21
7,2022-02-12,8,Surface Pressure,Jessica Darrow,9,8,6
8,2022-02-12,9,Pushin P,Gunna & Future Featuring Young Thug,7,7,4
9,2022-02-12,10,Need To Know,Doja Cat,11,8,34
10,2022-02-12,11,Cold Heart (PNAU Remix),Elton John & Dua Lipa,10,7,22
11,2022-02-12,12,Ghost,Justin Bieber,13,12,19
12,2022-02-12,13,Bad Habits,Ed Sheeran,12,2,32
13,2022-02-12,14,Industry Baby,Lil Nas X & Jack Harlow,14,1,28
14,2022-02-12,15,Thats What I Want,Lil Nas X,18,10,20
15,2022-02-12,16,Smokin Out The Window,Silk Sonic (Bruno Mars & Anderson .Paak),15,5,13
16,2022-02-12,17,Levitating,Dua Lipa,17,2,65
17,2022-02-12,18,Hrs And Hrs,Muni Long,16,16,6
18,2022-02-12,19,Save Your Tears,The Weeknd & Ariana Grande,19,1,57
19,2022-02-12,20,The Family Madrigal,"Stephanie Beatriz, Olga Merediz & Encanto Cast",20,20,5
20,2022-02-12,21,Oh My God,Adele,21,5,11
21,2022-02-12,22,One Right Now,Post Malone & The Weeknd,23,6,13
22,2022-02-12,23,Good 4 U,Olivia Rodrigo,25,1,38
23,2022-02-12,24,Buy Dirt,Jordan Davis Featuring Luke Bryan,22,22,26
24,2022-02-12,25,Better Days,NEIKED X Mae Muller X Polo G,24,23,16
25,2022-02-12,26,I Hate U,SZA,31,7,9
26,2022-02-12,27,Knife Talk,Drake Featuring 21 Savage & Project Pat,32,4,22
27,2022-02-12,28,You Should Probably Leave,Chris Stapleton,28,28,31
28,2022-02-12,29,Fancy Like,Walker Hayes,29,3,33
29,2022-02-12,30,Love Nwantiti (Ah Ah Ah),CKay,26,26,20
30,2022-02-12,31,What Else Can I Do?,Diane Guerrero & Stephanie Beatriz,27,27,5
31,2022-02-12,32,Fingers Crossed,Lauren Spencer-Smith,30,19,5
32,2022-02-12,33,Essence,Wizkid Featuring Justin Bieber & Tems,34,9,30
33,2022-02-12,34,Big Energy,Latto,39,34,15
34,2022-02-12,35,Kiss Me More,Doja Cat Featuring SZA,35,3,42
35,2022-02-12,36,You Right,Doja Cat & The Weeknd,33,11,31
36,2022-02-12,37,Woman,Doja Cat,46,37,27
37,2022-02-12,38,Dos Oruguitas,Sebastian Yatra,36,36,5
38,2022-02-12,39,Sand In My Boots,Morgan Wallen,43,32,29
39,2022-02-12,40,Sacrifice,The Weeknd,37,11,4
40,2022-02-12,41,Meet Me At Our Spot,THE ANXIETY: WILLOW & Tyler Cole,40,21,21
41,2022-02-12,42,If I Didn't Love You,Jason Aldean & Carrie Underwood,41,15,25
42,2022-02-12,43,Enemy,Imagine Dragons X JID,45,43,11
43,2022-02-12,44,Thinking 'Bout You,Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter,44,30,25
44,2022-02-12,45,'Til You Can't,Cody Johnson,50,45,17
45,2022-02-12,46,Freedom Was A Highway,Jimmie Allen & Brad Paisley,53,45,17
46,2022-02-12,47,One Mississippi,Kane Brown,49,40,19
47,2022-02-12,48,To Be Loved By You,Parker McCollum,51,48,10
48,2022-02-12,49,Light Switch,Charlie Puth,42,42,2
49,2022-02-12,50,Waiting On A Miracle,Stephanie Beatriz,48,48,5
50,2022-02-12,51,Rumors,Gucci Mane Featuring Lil Durk,-,51,1
51,2022-02-12,52,P Power,Gunna Featuring Drake,52,24,3
52,2022-02-12,53,23,Sam Hunt,79,53,6
53,2022-02-12,54,Broadway Girls,Lil Durk Featuring Morgan Wallen,54,14,7
54,2022-02-12,55,Half Of My Hometown,Kelsea Ballerini Featuring Kenny Chesney,56,53,12
55,2022-02-12,56,AA,Walker Hayes,55,55,4
56,2022-02-12,57,High,The Chainsmokers,-,57,1
57,2022-02-12,58,Chosen,Blxst & Tyga Featuring Ty Dolla $ign,61,51,19
58,2022-02-12,59,Who Want Smoke??,"Nardo Wick Featuring G Herbo, Lil Durk & 21 Savage",59,17,17
59,2022-02-12,60,Heart On Fire,Eric Church,63,59,11
60,2022-02-12,61,Message In A Bottle (Taylor's Version) (From The Vault),Taylor Swift,57,45,12
61,2022-02-12,62,Cold December,Rod Wave,38,38,3
62,2022-02-12,63,Beers On Me,"Dierks Bentley, Breland & HARDY",67,63,6
63,2022-02-12,64,Whiskey And Rain,Michael Ray,62,37,18
64,2022-02-12,65,For Tonight,Giveon,66,61,18
65,2022-02-12,66,Doin' This,Luke Combs,76,53,8
66,2022-02-12,67,Pressure,Ari Lennox,78,67,6
67,2022-02-12,68,Scorpio,Moneybagg Yo,71,66,11
68,2022-02-12,69,Never Say Never,Cole Swindell / Lainey Wilson,80,69,3
69,2022-02-12,70,Do It To It,Acraze Featuring Cherish,75,65,7
70,2022-02-12,71,I Love You So,The Walters,81,71,3
71,2022-02-12,72,Johnny P's Caddy,Benny The Butcher & J. Cole,-,72,1
72,2022-02-12,73,By Your Side,Rod Wave,69,58,10
73,2022-02-12,74,All Of You,"Stephanie Beatriz, Olga Merediz, John Leguizamo, Adassa, Maluma & Encanto Cast",82,74,3
74,2022-02-12,75,All Too Well (Taylor's Version),Taylor Swift,77,1,12
75,2022-02-12,76,Too Easy,Gunna & Future,65,16,14
76,2022-02-12,77,Circles Around This Town,Maren Morris,84,63,4
77,2022-02-12,78,Me Or Sum,"Nardo Wick, Lil Baby & Future",90,78,4
78,2022-02-12,79,Peru,Fireboy DML & Ed Sheeran,-,79,1
79,2022-02-12,80,Beautiful Lies,Yung Bleu & Kehlani,91,80,2
80,2022-02-12,81,Get Into It (Yuh),Doja Cat,-,68,14
81,2022-02-12,82,If I Was A Cowboy,Miranda Lambert,-,82,1
82,2022-02-12,83,No Switch,YoungBoy Never Broke Again,58,58,2
83,2022-02-12,84,Take My Breath,The Weeknd,85,6,20
84,2022-02-12,85,Come Back As A Country Boy,Blake Shelton,96,85,3
85,2022-02-12,86,Shotta Flow 6,NLE Choppa,-,86,1
86,2022-02-12,87,Iffy,Chris Brown,100,71,3
87,2022-02-12,88,Home Sweet,Russell Dickerson,94,88,3
88,2022-02-12,89,Vice City,XXXTENTACION,-,89,1
89,2022-02-12,90,Fair Trade,Drake Featuring Travis Scott,-,3,16
90,2022-02-12,91,Numb Little Bug,Em Beihold,-,91,1
91,2022-02-12,92,Never Wanted To Be That Girl,Carly Pearce & Ashley McBryde,98,92,4
92,2022-02-12,93,Flower Shops,ERNEST Featuring Morgan Wallen,-,68,2
93,2022-02-12,94,Infinity,Jaymes Young,-,94,1
94,2022-02-12,95,The Motto,Tiesto & Ava Max,-,95,1
95,2022-02-12,96,No Love,Summer Walker & SZA,95,13,12
96,2022-02-12,97,Megan's Piano,Megan Thee Stallion,-,97,1
97,2022-02-12,98,Eazy,The Game & Kanye West,70,49,3
98,2022-02-12,99,Fish Scale,YoungBoy Never Broke Again,68,68,3
99,2022-02-12,100,"Colombia, Mi Encanto",Carlos Vives,-,100,1
0,2022-02-19,1,We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",1,1,7
1,2022-02-19,2,Do We Have A Problem?,Nicki Minaj X Lil Baby,-,2,1
2,2022-02-19,3,Easy On Me,Adele,2,1,18
3,2022-02-19,4,Heat Waves,Glass Animals,3,3,56
4,2022-02-19,5,Stay,The Kid LAROI & Justin Bieber,4,1,31
5,2022-02-19,6,Super Gremlin,Kodak Black,5,5,14
6,2022-02-19,7,abcdefu,GAYLE,6,6,12
7,2022-02-19,8,Shivers,Ed Sheeran,7,4,22
8,2022-02-19,9,Ghost,Justin Bieber,12,9,20
9,2022-02-19,10,Surface Pressure,Jessica Darrow,8,8,7
10,2022-02-19,11,Pushin P,Gunna & Future Featuring Young Thug,9,7,5
11,2022-02-19,12,Thats What I Want,Lil Nas X,15,10,21
12,2022-02-19,13,Need To Know,Doja Cat,10,8,35
13,2022-02-19,14,Cold Heart (PNAU Remix),Elton John & Dua Lipa,11,7,23
14,2022-02-19,15,Bad Habits,Ed Sheeran,13,2,33
15,2022-02-19,16,Industry Baby,Lil Nas X & Jack Harlow,14,1,29
16,2022-02-19,17,Levitating,Dua Lipa,17,2,66
17,2022-02-19,18,Save Your Tears,The Weeknd & Ariana Grande,19,1,58
18,2022-02-19,19,Hrs And Hrs,Muni Long,18,16,7
19,2022-02-19,20,The Family Madrigal,"Stephanie Beatriz, Olga Merediz & Encanto Cast",20,20,6
20,2022-02-19,21,One Right Now,Post Malone & The Weeknd,22,6,14
21,2022-02-19,22,Smokin Out The Window,Silk Sonic (Bruno Mars & Anderson .Paak),16,5,14
22,2022-02-19,23,Oh My God,Adele,21,5,12
23,2022-02-19,24,I Hate U,SZA,26,7,10
24,2022-02-19,25,Good 4 U,Olivia Rodrigo,23,1,39
25,2022-02-19,26,Love Nwantiti (Ah Ah Ah),CKay,30,26,21
26,2022-02-19,27,Knife Talk,Drake Featuring 21 Savage & Project Pat,27,4,23
27,2022-02-19,28,Big Energy,Latto,34,28,16
28,2022-02-19,29,Woman,Doja Cat,37,29,28
29,2022-02-19,30,You Should Probably Leave,Chris Stapleton,28,28,32
30,2022-02-19,31,Enemy,Imagine Dragons X JID,43,31,12
31,2022-02-19,32,Better Days,NEIKED X Mae Muller X Polo G,25,23,17
32,2022-02-19,33,What Else Can I Do?,Diane Guerrero & Stephanie Beatriz,31,27,6
33,2022-02-19,34,Fingers Crossed,Lauren Spencer-Smith,32,19,6
34,2022-02-19,35,Buy Dirt,Jordan Davis Featuring Luke Bryan,24,22,27
35,2022-02-19,36,Fancy Like,Walker Hayes,29,3,34
36,2022-02-19,37,You Right,Doja Cat & The Weeknd,36,11,32
37,2022-02-19,38,Sand In My Boots,Morgan Wallen,39,32,30
38,2022-02-19,39,Meet Me At Our Spot,THE ANXIETY: WILLOW & Tyler Cole,41,21,22
39,2022-02-19,40,Don't Play That,King Von & 21 Savage,-,40,1
40,2022-02-19,41,Dos Oruguitas,Sebastian Yatra,38,36,6
41,2022-02-19,42,Essence,Wizkid Featuring Justin Bieber & Tems,33,9,31
42,2022-02-19,43,Cigarettes,Juice WRLD,-,43,1
