artist,ig_handle,tt_handle,yt_handle,has_ig,has_tt,has_yt,has_social_media
Good Neighbours,wearegoodneighbours,wearegoodneighbours,@wearegoodneighbours,True,True,True,True
Rich Amiri,richamiri,richamirii,@RichAmiri,True,True,True,True
Conner Smith,connersmithmusic,connersmith,@ConnerSmith,True,True,True,True
Christian Nodal,nodal,nodal,@ChristianNodal,True,True,True,True
Chris Janson,thechrisjanson,thechrisjanson,@TheChrisJanson,True,True,True,True
Billy Joel,billyjoel,billyjoel,@billyjoel,True,True,True,True
BossMan Dlow,bossman_dlow,bossmandlow,@bossmandlow,True,True,True,True
Michael Marcagi,michaelmarcagimusic,michaelmarcagimusic,@MichaelMarcagiMusic,True,True,True,True
Bryson Tiller,brysontiller,brysontiller,@BrysonTiller,True,True,True,True
Djo,djotime,djo_time,@djomusic887,True,True,True,True
Tucker Wetmore,tuckerwetmore,tuckerwetmore,@TuckerWetmore,True,True,True,True
LE SSERAFIM,le_sserafim,le_sserafim,@LESSERAFIM_official,True,True,True,True
Twenty One Pilots,twentyonepilots,twentyonepilots,@twentyonepilots,True,True,True,True
Dasha,dashamusic,dasha,@dashamusicofficial,True,True,True,True
Kacey Musgraves,spaceykacey,kaceymusgraves,@KaceyMusgraves,True,True,True,True
Bryan Martin,bryanmartinmusic,bryanmartinmusic,@BryanMartinMusic,True,True,True,True
FloyyMenor,floyymenor,floyymenorys,@FloyyMenor,True,True,True,True
Artemas,artemas___,artemasaltalt,@artemas___,True,True,True,True
Joyner Lucas,joynerlucas,joynerlucas,@JoynerLucasOfficial,True,True,True,True
J. Cole,realcoleworld,,@jcole,True,False,True,True
