,song_id,main_artist,main_artist_ig,main_artist_yt,main_artist_tt
189,Flowers — Lauren Spencer-Smith,Lauren Spencer-Smith,laurenspencersmith,@laurenspencersmith,laurenspencersmith
190,GINE — 6ix9ine,6ix9ine,6ix9ine,@6ix9ine,6ix9ine
191,Leave You Alone — Kane Brown,Kane Brown,kanebrown,@KaneBrown,kanebrown
192,Fall In Love — Bailey Zimmerman,Bailey Zimmerman,bailey.zimmerman,@BaileyZimmerman,bailey.zimmerman
193,Thousand Miles — The Kid LAROI,The Kid LAROI,thekidlaroi,@TheKidLAROI,thekidlaroi
194,Plan B — Megan Thee Stallion,Megan Thee Stallion,theestallion,@megantheestallion,theestallion
195,Provenza — Karol G,Karol G,karolg,@KarolG,karolg
196,2step — Ed Sheeran Featuring Lil Baby,Ed Sheeran,teddysphotos,@EdSheeran,edsheeran
197,Something In The Orange — Zach Bryan,Zach Bryan,zachlanebryan,@zachbryan1067,zachlanebryan
198,"Hold That Heat — Southside, Travis Scott & Future",Southside,808mafiaboss,@808MafiaTV,808mafiaboss
199,Scrape It Off — Pusha T Featuring Lil Uzi Vert & Don Toliver,Pusha T,kingpush,@PUSHATgood,pusha_t
200,Tomorrow Me — Luke Combs,Luke Combs,lukecombs,@lukecombs,lukecombs
201,Rock N Roll — Pusha T Featuring Kanye West & Kid Cudi,Pusha T,kingpush,@PUSHATgood,pusha_t
202,Dreamin Of The Past — Pusha T Featuring Kanye West,Pusha T,kingpush,@PUSHATgood,pusha_t
203,Brambleton — Pusha T,Pusha T,kingpush,@PUSHATgood,pusha_t
204,Wait For U — Future Featuring Drake & Tems,Future,,@officialfuturevideos,plutoouttahere
205,Puffin On Zootiez — Future,Future,,@officialfuturevideos,plutoouttahere
206,712PM — Future,Future,,@officialfuturevideos,plutoouttahere
207,I'm Dat N***a — Future,Future,,@officialfuturevideos,plutoouttahere
208,I'm On One — Future Featuring Drake,Future,,@officialfuturevideos,plutoouttahere
209,Love You Better — Future,Future,,@officialfuturevideos,plutoouttahere
210,Keep It Burnin — Future Featuring Kanye West,Future,,@officialfuturevideos,plutoouttahere
211,Massaging Me — Future,Future,,@officialfuturevideos,plutoouttahere
212,For A Nut — Future Featuring Gunna & Young Thug,Future,,@officialfuturevideos,plutoouttahere
213,Chickens — Future Featuring EST Gee,Future,,@officialfuturevideos,plutoouttahere
214,Gold Stacks — Future,Future,,@officialfuturevideos,plutoouttahere
215,Voodoo — Future Featuring Kodak Black,Future,,@officialfuturevideos,plutoouttahere
216,Honest — Justin Bieber & Don Toliver,Justin Bieber,lilbieber,@justinbieber,justinbieber
217,We Jus Wanna Get High — Future,Future,,@officialfuturevideos,plutoouttahere
218,Holy Ghost — Future,Future,,@officialfuturevideos,plutoouttahere
219,Frozen — Lil Baby,Lil Baby,lilbaby,@LilBabyATL,lilbaby
220,Back To The Basics — Future,Future,,@officialfuturevideos,plutoouttahere
221,The Way Things Going — Future,Future,,@officialfuturevideos,plutoouttahere
222,That That — PSY Featuring SUGA,PSY,42psy42,@officialpsy,42psy42
223,In The Stars — Benson Boone,Benson Boone,bensonboone,@BensonBoone,bensonboone
224,Love Me More — Sam Smith,Sam Smith,samsmith,@samsmith,samsmith
225,Moscow Mule — Bad Bunny,Bad Bunny,badbunnypr,@BadBunnyPR,badbunny
226,Titi Me Pregunto — Bad Bunny,Bad Bunny,badbunnypr,@BadBunnyPR,badbunny
227,Despues de La Playa — Bad Bunny,Bad Bunny,badbunnypr,@BadBunnyPR,badbunny
228,Me Porto Bonito — Bad Bunny & Chencho Corleone,Bad Bunny,badbunnypr,@BadBunnyPR,badbunny
229,Thought You Should Know — Morgan Wallen,Morgan Wallen,morganwallen,@morganwallen,morganwallen
230,Party — Bad Bunny & Rauw Alejandro,Bad Bunny,badbunnypr,@BadBunnyPR,badbunny
231,The Heart Part 5 — Kendrick Lamar,Kendrick Lamar,kendricklamar,@kendricklamar,
232,Un Ratito — Bad Bunny,Bad Bunny,badbunnypr,@BadBunnyPR,badbunny
233,Tarot — Bad Bunny & Jhay Cortez,Bad Bunny,badbunnypr,@BadBunnyPR,badbunny
234,Dua Lipa — Jack Harlow,Jack Harlow,jackharlow,@JackHarlow,missionaryjack
235,Yo No Soy Celoso — Bad Bunny,Bad Bunny,badbunnypr,@BadBunnyPR,badbunny
236,Churchill Downs — Jack Harlow Featuring Drake,Jack Harlow,jackharlow,@JackHarlow,missionaryjack
237,Ojitos Lindos — Bad Bunny & Bomba Estereo,Bad Bunny,badbunnypr,@BadBunnyPR,badbunny
238,Neverita — Bad Bunny,Bad Bunny,badbunnypr,@BadBunnyPR,badbunny
239,La Corriente — Bad Bunny & Tony Dize,Bad Bunny,badbunnypr,@BadBunnyPR,badbunny
240,Efecto — Bad Bunny,Bad Bunny,badbunnypr,@BadBunnyPR,badbunny
241,Aguacero — Bad Bunny,Bad Bunny,badbunnypr,@BadBunnyPR,badbunny
242,Dos Mil 16 — Bad Bunny,Bad Bunny,badbunnypr,@BadBunnyPR,badbunny
243,Otro Atardecer — Bad Bunny & The Marias,Bad Bunny,badbunnypr,@BadBunnyPR,badbunny
244,This Love (Taylor's Version) — Taylor Swift,Taylor Swift,taylorswift,@TaylorSwift,taylorswift
245,Andrea — Bad Bunny & Buscabulla,Bad Bunny,badbunnypr,@BadBunnyPR,badbunny
246,El Apagon — Bad Bunny,Bad Bunny,badbunnypr,@BadBunnyPR,badbunny
247,Un Verano Sin Ti — Bad Bunny,Bad Bunny,badbunnypr,@BadBunnyPR,badbunny
248,Un Coco — Bad Bunny,Bad Bunny,badbunnypr,@BadBunnyPR,badbunny
249,Me Fui de Vacaciones — Bad Bunny,Bad Bunny,badbunnypr,@BadBunnyPR,badbunny
250,Ensename A Bailar — Bad Bunny,Bad Bunny,badbunnypr,@BadBunnyPR,badbunny
251,Agosto — Bad Bunny,Bad Bunny,badbunnypr,@BadBunnyPR,badbunny
252,Hold My Hand — Lady Gaga,Lady Gaga,ladygaga,@LadyGaga,ladygaga
253,Whiskey On You — Nate Smith,Nate Smith,natesmith,@natesmithmusic,natesmithmusic
254,I'd Do Anything To Make You Smile — Jack Harlow,Jack Harlow,jackharlow,@JackHarlow,missionaryjack
255,Young Harleezy — Jack Harlow,Jack Harlow,jackharlow,@JackHarlow,missionaryjack
256,Poison — Jack Harlow Featuring Lil Wayne,Jack Harlow,jackharlow,@JackHarlow,missionaryjack
